date_time,temperature,humidity,pressure
2017-01-01 00:00:00+00:00,-3.1,85.8,1092.1
2017-01-01 01:00:00+00:00,-3.4,85.7,1091.4
2017-01-01 02:00:00+00:00,-3.6,87.2,1090.8
2017-01-01 03:00:00+00:00,-3.6,87.5,1090.0
2017-01-01 04:00:00+00:00,-3.6,87.7,1089.2
2017-01-01 05:00:00+00:00,-3.7,87.3,1088.9
2017-01-01 06:00:00+00:00,-3.9,87.1,1088.7
2017-01-01 07:00:00+00:00,-4.0,86.8,1088.3
2017-01-01 08:00:00+00:00,-3.6,85.3,1088.1
2017-01-01 09:00:00+00:00,-2.6,81.9,1087.8
2017-01-01 10:00:00+00:00,-1.3,78.6,1087.2
2017-01-01 11:00:00+00:00,0.1,75.0,1086.1
2017-01-01 12:00:00+00:00,1.1,73.1,1085.1
2017-01-01 13:00:00+00:00,1.9,70.6,1084.2
2017-01-01 14:00:00+00:00,2.1,69.6,1084.4
2017-01-01 15:00:00+00:00,1.8,70.3,1084.5
2017-01-01 16:00:00+00:00,0.0,78.8,1084.5
2017-01-01 17:00:00+00:00,-0.9,84.0,1084.8
2017-01-01 18:00:00+00:00,-1.6,86.7,1085.1
2017-01-01 19:00:00+00:00,-2.2,88.3,1085.4
2017-01-01 20:00:00+00:00,-2.7,90.0,1085.4
2017-01-01 21:00:00+00:00,-3.4,92.0,1085.6
2017-01-01 22:00:00+00:00,-3.6,94.9,1085.7
2017-01-01 23:00:00+00:00,-3.3,94.8,1085.7
2017-01-02 00:00:00+00:00,-3.5,91.8,1085.5
2017-01-02 01:00:00+00:00,-3.6,91.5,1085.4
2017-01-02 02:00:00+00:00,-3.6,92.2,1085.1
2017-01-02 03:00:00+00:00,-3.4,93.6,1085.1
2017-01-02 04:00:00+00:00,-3.8,92.9,1085.4
2017-01-02 05:00:00+00:00,-3.3,90.2,1085.6
2017-01-02 06:00:00+00:00,-2.9,89.7,1085.9
2017-01-02 07:00:00+00:00,-2.6,90.0,1086.1
2017-01-02 08:00:00+00:00,-2.2,88.6,1086.3
2017-01-02 09:00:00+00:00,-1.3,86.6,1086.3
2017-01-02 10:00:00+00:00,-0.8,90.5,1086.5
2017-01-02 11:00:00+00:00,-0.2,89.1,1086.6
2017-01-02 12:00:00+00:00,0.2,88.9,1086.2
2017-01-02 13:00:00+00:00,0.9,87.1,1085.9
2017-01-02 14:00:00+00:00,1.2,85.3,1086.0
2017-01-02 15:00:00+00:00,1.3,85.2,1086.5
2017-01-02 16:00:00+00:00,0.8,89.8,1087.2
2017-01-02 17:00:00+00:00,0.1,95.2,1087.7
2017-01-02 18:00:00+00:00,0.1,93.6,1088.0
2017-01-02 19:00:00+00:00,0.0,94.2,1088.6
2017-01-02 20:00:00+00:00,-0.1,92.3,1089.0
2017-01-02 21:00:00+00:00,-0.3,91.7,1089.4
2017-01-02 22:00:00+00:00,-0.4,92.9,1090.0
2017-01-02 23:00:00+00:00,-0.7,93.9,1090.4
2017-01-03 00:00:00+00:00,-1.0,93.6,1090.5
2017-01-03 01:00:00+00:00,-1.2,94.2,1090.8
2017-01-03 02:00:00+00:00,-1.7,94.1,1091.0
2017-01-03 03:00:00+00:00,-1.7,92.4,1091.1
2017-01-03 04:00:00+00:00,-1.6,90.3,1091.4
2017-01-03 05:00:00+00:00,-1.8,90.2,1091.7
2017-01-03 06:00:00+00:00,-1.7,89.3,1092.1
2017-01-03 07:00:00+00:00,-1.7,89.0,1092.0
2017-01-03 08:00:00+00:00,-1.7,87.9,1092.3
2017-01-03 09:00:00+00:00,-1.6,83.5,1092.4
2017-01-03 10:00:00+00:00,-1.4,83.3,1092.9
2017-01-03 11:00:00+00:00,-1.2,82.3,1092.5
2017-01-03 12:00:00+00:00,-0.9,77.5,1092.0
2017-01-03 13:00:00+00:00,0.0,77.3,1091.5
2017-01-03 14:00:00+00:00,-0.6,81.9,1091.2
2017-01-03 15:00:00+00:00,-1.0,84.2,1091.3
2017-01-03 16:00:00+00:00,-2.1,88.6,1091.3
2017-01-03 17:00:00+00:00,-2.4,90.0,1091.3
2017-01-03 18:00:00+00:00,-1.9,88.6,1091.7
2017-01-03 19:00:00+00:00,-2.1,89.3,1091.6
2017-01-03 20:00:00+00:00,-2.2,88.7,1091.6
2017-01-03 21:00:00+00:00,-2.6,90.0,1091.0
2017-01-03 22:00:00+00:00,-3.6,89.3,1090.2
2017-01-03 23:00:00+00:00,-4.5,89.9,1090.1
2017-01-04 00:00:00+00:00,-4.2,92.4,1089.7
2017-01-04 01:00:00+00:00,-4.5,92.7,1088.7
2017-01-04 02:00:00+00:00,-4.3,89.4,1088.4
2017-01-04 03:00:00+00:00,-3.8,90.2,1087.9
2017-01-04 04:00:00+00:00,-2.8,84.0,1087.6
2017-01-04 05:00:00+00:00,-1.1,75.5,1086.7
2017-01-04 06:00:00+00:00,-0.8,76.7,1086.8
2017-01-04 07:00:00+00:00,0.6,67.2,1086.1
2017-01-04 08:00:00+00:00,1.1,67.3,1085.9
2017-01-04 09:00:00+00:00,0.3,74.8,1085.8
2017-01-04 10:00:00+00:00,-0.1,80.8,1085.9
2017-01-04 11:00:00+00:00,0.3,81.2,1085.5
2017-01-04 12:00:00+00:00,1.4,77.1,1084.5
2017-01-04 13:00:00+00:00,1.7,76.5,1083.7
2017-01-04 14:00:00+00:00,1.9,75.7,1082.8
2017-01-04 15:00:00+00:00,1.9,77.5,1082.9
2017-01-04 16:00:00+00:00,1.5,81.4,1083.1
2017-01-04 17:00:00+00:00,1.4,80.5,1083.1
2017-01-04 18:00:00+00:00,1.4,78.3,1083.1
2017-01-04 19:00:00+00:00,1.4,77.5,1083.7
2017-01-04 20:00:00+00:00,1.3,77.8,1084.2
2017-01-04 21:00:00+00:00,1.2,78.6,1084.6
2017-01-04 22:00:00+00:00,1.0,80.5,1084.5
2017-01-04 23:00:00+00:00,0.7,80.3,1084.5
2017-01-05 00:00:00+00:00,1.1,79.8,1084.6
