date_time,temperature,humidity,pressure,energy_kWh
01/01/2017 1:00,-3.1,85.8,1092.1,68.44
01/01/2017 2:00,-3.4,85.7,1091.4,69.13
01/01/2017 3:00,-3.6,87.2,1090.8,69.77
01/01/2017 4:00,-3.6,87.5,1090,64.91
01/01/2017 5:00,-3.6,87.7,1089.2,65.45
01/01/2017 6:00,-3.7,87.3,1088.9,68.23
01/01/2017 7:00,-3.9,87.1,1088.7,64.39
01/01/2017 8:00,-4,86.8,1088.3,64.93
01/01/2017 9:00,-3.6,85.3,1088.1,65.42
01/01/2017 10:00,-2.6,81.9,1087.8,64.36
01/01/2017 11:00,-1.3,78.6,1087.2,65.6
01/01/2017 12:00,0.1,75,1086.1,65.89
01/01/2017 13:00,1.1,73.1,1085.1,63.7
01/01/2017 14:00,1.9,70.6,1084.2,66.33
01/01/2017 15:00,2.1,69.6,1084.4,67.12
01/01/2017 16:00,1.8,70.3,1084.5,66
01/01/2017 17:00,0,78.8,1084.5,64.86
01/01/2017 18:00,-0.9,84,1084.8,69.39
01/01/2017 19:00,-1.6,86.7,1085.1,69.07
01/01/2017 20:00,-2.2,88.3,1085.4,66
01/01/2017 21:00,-2.7,90,1085.4,68.24
01/01/2017 22:00,-3.4,92,1085.6,68.93
01/01/2017 23:00,-3.6,94.9,1085.7,68.56
01/02/2017 0:00,-3.3,94.8,1085.7,65.67
01/02/2017 1:00,-3.5,91.8,1085.5,69.18
01/02/2017 2:00,-3.6,91.5,1085.4,66.39
01/02/2017 3:00,-3.6,92.2,1085.1,66.64
01/02/2017 4:00,-3.4,93.6,1085.1,67.83
01/02/2017 5:00,-3.8,92.9,1085.4,66.27
01/02/2017 6:00,-3.3,90.2,1085.6,66.47
01/02/2017 7:00,-2.9,89.7,1085.9,82.34
01/02/2017 8:00,-2.6,90,1086.1,94.16
01/02/2017 9:00,-2.2,88.6,1086.3,109.57
01/02/2017 10:00,-1.3,86.6,1086.3,110.44
01/02/2017 11:00,-0.8,90.5,1086.5,106.43
01/02/2017 12:00,-0.2,89.1,1086.6,108.46
01/02/2017 13:00,0.2,88.9,1086.2,114.9
01/02/2017 14:00,0.9,87.1,1085.9,108.65
01/02/2017 15:00,1.2,85.3,1086,104.2
01/02/2017 16:00,1.3,85.2,1086.5,105.04
01/02/2017 17:00,0.8,89.8,1087.2,102.57
01/02/2017 18:00,0.1,95.2,1087.7,104.65
01/02/2017 19:00,0.1,93.6,1088,101.14
01/02/2017 20:00,0,94.2,1088.6,91.43
01/02/2017 21:00,-0.1,92.3,1089,77.47
01/02/2017 22:00,-0.3,91.7,1089.4,75.71
01/02/2017 23:00,-0.4,92.9,1090,70.62
01/03/2017 0:00,-0.7,93.9,1090.4,67.45
01/03/2017 1:00,-1,93.6,1090.5,67.85
01/03/2017 2:00,-1.2,94.2,1090.8,69.34
01/03/2017 3:00,-1.7,94.1,1091,68.37
01/03/2017 4:00,-1.7,92.4,1091.1,65.14
01/03/2017 5:00,-1.6,90.3,1091.4,66.98
01/03/2017 6:00,-1.8,90.2,1091.7,67.05
01/03/2017 7:00,-1.7,89.3,1092.1,84.56
01/03/2017 8:00,-1.7,89,1092,96.42
01/03/2017 9:00,-1.7,87.9,1092.3,115.52
01/03/2017 10:00,-1.6,83.5,1092.4,118.28
01/03/2017 11:00,-1.4,83.3,1092.9,117.32
01/03/2017 12:00,-1.2,82.3,1092.5,116.87
01/03/2017 13:00,-0.9,77.5,1092,119.19
01/03/2017 14:00,0,77.3,1091.5,116.77
01/03/2017 15:00,-0.6,81.9,1091.2,111.89
01/03/2017 16:00,-1,84.2,1091.3,113.42
01/03/2017 17:00,-2.1,88.6,1091.3,111.63
01/03/2017 18:00,-2.4,90,1091.3,114.04
01/03/2017 19:00,-1.9,88.6,1091.7,104.41
01/03/2017 20:00,-2.1,89.3,1091.6,94.45
01/03/2017 21:00,-2.2,88.7,1091.6,80.07
01/03/2017 22:00,-2.6,90,1091,74.65
01/03/2017 23:00,-3.6,89.3,1090.2,69.94
01/04/2017 0:00,-4.5,89.9,1090.1,70.72
01/04/2017 1:00,-4.2,92.4,1089.7,71.77
01/04/2017 2:00,-4.5,92.7,1088.7,70.06
01/04/2017 3:00,-4.3,89.4,1088.4,68
01/04/2017 4:00,-3.8,90.2,1087.9,66.52
01/04/2017 5:00,-2.8,84,1087.6,68.04
01/04/2017 6:00,-1.1,75.5,1086.7,69.56
01/04/2017 7:00,-0.8,76.7,1086.8,81.23
01/04/2017 8:00,0.6,67.2,1086.1,97.73
01/04/2017 9:00,1.1,67.3,1085.9,119.61
01/04/2017 10:00,0.3,74.8,1085.8,120.27
01/04/2017 11:00,-0.1,80.8,1085.9,115.88
01/04/2017 12:00,0.3,81.2,1085.5,116.11
01/04/2017 13:00,1.4,77.1,1084.5,118.05
01/04/2017 14:00,1.7,76.5,1083.7,118.68
01/04/2017 15:00,1.9,75.7,1082.8,114.53
01/04/2017 16:00,1.9,77.5,1082.9,115.3
01/04/2017 17:00,1.5,81.4,1083.1,114.08
01/04/2017 18:00,1.4,80.5,1083.1,118.28
01/04/2017 19:00,1.4,78.3,1083.1,109.04
01/04/2017 20:00,1.4,77.5,1083.7,97.29
01/04/2017 21:00,1.3,77.8,1084.2,80.55
01/04/2017 22:00,1.2,78.6,1084.6,76.63
01/04/2017 23:00,1,80.5,1084.5,72.61
01/05/2017 0:00,0.7,80.3,1084.5,71.62
01/05/2017 1:00,1.1,79.8,1084.6,68.41
01/05/2017 2:00,1.1,81.7,1085.1,67.76
01/05/2017 3:00,0.7,86.4,1085.9,69.16
01/05/2017 4:00,0.5,84.1,1086.3,66.9
01/05/2017 5:00,0.3,84,1087,65.35
01/05/2017 6:00,-0.2,84.2,1087.7,69.53
01/05/2017 7:00,-0.9,86,1088.2,85.67
01/05/2017 8:00,-1.5,86.7,1088.8,104.86
